nohup: ignoring input
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
1 warning generated.
# 2026-01-08 23:14:16.427240

# field.xml config.pdb
#   401 molecules 10704 atoms 11016 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  13.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 4060
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
35000	34377.96476891049	70864.12101891049	322.03984432131347	0.8320306307418861	140
36000	34186.13658306218	71164.82017681218	326.38706653947304	0.8321506323460737	140
37000	34155.65258149168	70991.50805024168	325.1264145040944	0.8325824028656784	140
38000	34008.67297022045	70673.57531397045	323.61752117523787	0.8318054818395522	140
39000	34390.01572007139	70812.13290757139	321.47461268724726	0.8318762157961337	140
40000	33858.30096904101	70979.12128154101	327.64161597638696	0.8308116695243545	140
41000	34696.22883021599	71169.27570521599	321.9241362961868	0.8313545531082062	140
42000	33777.2845313127	70490.8353125627	324.0469096570398	0.8301276033523629	140
43000	34007.30961959757	70488.71977584757	321.99795360303915	0.8307933362962839	140
44000	33910.090445699694	70333.0045081997	321.48164619056246	0.8302025706091151	140
45000	34051.22563546151	70344.78032296151	320.33987415239386	0.8309802742442725	140
46000	34321.114044923335	70403.41091992334	318.4752372588005	0.8297358901617519	140
47000	33900.6018665944	70455.4143665944	322.645828901059	0.8292581256875303	139
48000	33735.73070028849	70831.00413778849	327.4161301348112	0.8303149660666829	139
49000	33421.7100606623	70380.4366231623	326.21091865497596	0.8301116785441212	139
50000	33781.40743697155	70634.14962447155	325.27546271405345	0.831478730944961	139
51000	34007.265868870425	70736.87915012043	324.1886830179816	0.8303971817514749	139
52000	33202.78712512471	69888.67775012471	323.8027712404957	0.8309844393359074	139
53000	33065.58585447504	70337.42179197504	328.9745338105336	0.8303463467783907	139
54000	32853.15429054323	69908.22069679323	327.06124851901006	0.8305807126455136	139
55000	33806.2548710166	69879.1728397666	318.3924556830171	0.8300530524368299	139
56000	33323.795278606005	69515.021841106	319.4366895796234	0.8312024210707831	139
57000	33436.11039084027	70631.54789084027	328.3002139191669	0.8305899068147519	139
58000	32682.70290566387	69465.07790566387	324.6543767889547	0.8305658806382648	139
59000	33289.16492728656	69917.57898978656	323.29546257490773	0.8302462957790174	139
