nohup: ignoring input
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
# 2026-01-09 00:01:27.163782

# field.xml config.pdb
#   401 molecules 10704 atoms 11016 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  13.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 4060
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
# PotentielEnergy 28113.71541082603 kJ/mol
#   HarmonicBondForce 8993.811849594116 kJ/mol
42000	28257.077365895908	65403.81174089591	327.87034274596095	0.8289253229662447	129
43000	27681.51743444061	64245.46274694061	322.7264383655245	0.8294905420015897	129
44000	28366.14739726152	65022.73724101152	323.5441520818322	0.8278249344353489	129
45000	28318.140517087886	64789.999892087886	321.9136549971289	0.8270241676669278	129
46000	28380.28709518886	65838.06053268886	330.615684584082	0.8289921736740025	129
47000	28252.87493913638	64786.47650163638	322.4586135922278	0.8284910230726803	129
48000	28167.292758244905	64808.933383244905	323.41220493875716	0.8286518163895727	129
49000	28706.4639180582	64951.3740743082	319.9105201485493	0.8291266819953831	129
50000	28052.560414657986	64567.208852157986	322.2913265427896	0.8319770631287519	129
51000	28264.00771750108	65646.46865500108	329.95094956488003	0.8300764811172263	129
52000	28609.784947201784	65226.085728451784	323.18854642892506	0.8289024883255994	129
53000	28234.062270580325	64993.753676830325	324.45416329017326	0.8293209179457732	129
54000	27866.326991075883	64258.74886607588	321.2125112548835	0.8289189310055871	129
55000	28649.005018650496	64412.723768650496	315.6633529628444	0.8281544757395376	129
56000	27926.90375811205	64706.96625811205	324.6339658381576	0.8287584720582019	129
57000	28601.299954671704	64640.510892171704	318.0949453883753	0.8270030961882738	129
58000	28302.164673588588	64805.66467358859	322.19292645229154	0.8283464084812366	129
59000	28030.045891448855	65029.166985198855	326.5674552127336	0.8279918892808446	129
60000	27952.22466581769	64877.52935331769	325.91592525122644	0.8290623710278682	129
61000	28700.208128528902	65226.2003160289	322.391450531159	0.8282971866971476	129
62000	28271.439133124542	64643.71647687454	321.03470842842995	0.8291716436515625	129
63000	27966.620905577205	64672.347468077205	323.97785030831255	0.8286364255767059	129
64000	28260.6369157554	64684.6525407554	321.491368974557	0.8274553067010314	129
65000	28569.204728139623	65091.88832188962	322.3622477012179	0.8270750966768956	129
66000	28316.64546894253	64755.12984394253	321.61907532886846	0.8291479842970665	129
