nohup: ignoring input
# 2025-12-04 11:09:07.832768

# field.xml config.pdb
#   401 molecules 6160 atoms 6640 bonds
#   box 4.1888 4.2678 10.0 nm
# Langevin integrator 300.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform CUDA
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   UseBlockingSync false
#   Precision single
#   UseCpuPme false
#   CudaCompiler 
#   TempDirectory /tmp
#   CudaHostCompiler 
#   DisablePmeStream false
#   DeterministicForces false
# PotentielEnergy -52281.459065598094 kJ/mol
#   HarmonicBondForce 5267.388977050781 kJ/mol
#   RBTorsionForce 3166.138906478882 kJ/mol
#   NonbondedForce -58521.8818012274 kJ/mol
#   LennardJones -17531.879869045984 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 8187.794769287109 kJ/mol
#   LennardJones14 7150.980196177959 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
52000	-52561.83751001158	-32320.38438501158	299.13217875907065	0.5110111451922307	135
53000	-52347.95360885876	-32035.408686983763	300.18278732752617	0.5113396660717654	135
54000	-52912.58828988137	-32306.820711756372	304.516089461712	0.510908560407926	135
55000	-52303.18241054575	-31690.31717617075	304.6209800229298	0.5104275772243707	135
56000	-52143.757832518895	-32562.429707518895	289.37672156516766	0.5101538020750002	135
57000	-52674.24282155204	-32294.58657155204	301.1745717452492	0.5107594754045736	135
58000	-52528.119445069526	-32193.662413819526	300.50660879321214	0.5111886625644712	135
59000	-52845.25628501472	-32514.500425639722	300.4519121466773	0.5105871639275571	135
60000	-52628.51630703475	-32542.852244534748	296.82989732677066	0.5104053089455026	135
61000	-52596.283262562254	-32441.435606312254	297.85230609382006	0.5118310901102426	135
62000	-52680.55326345903	-32490.678263459027	298.3699470747999	0.5114415931396061	135
63000	-52866.821884638055	-33110.517197138055	291.96255964947756	0.5107905455596538	135
64000	-52269.06081650299	-31788.56862900299	302.6647450789183	0.5110637911826384	135
65000	-52558.72118398262	-31989.89501210762	303.970162088329	0.5103549377532961	135
